Team,Matches,GF,GA,GD,W,L,D,GF_avg,GA_avg,GD_avg,win_perc
Brazil,109,229,105,124,73,18,18,2.0,1.1,0.9,66.97247706422019
Germany,109,226,125,101,67,22,20,1.98,1.36,0.62,61.46788990825688
Italy,83,128,77,51,45,17,21,1.48,1.0,0.48,54.21686746987952
Argentina,81,137,93,44,43,23,15,1.52,1.29,0.23,53.086419753086425
France,66,120,77,43,34,19,13,1.78,1.18,0.6,51.515151515151516
Spain,63,99,72,27,30,18,15,1.57,1.14,0.43,47.61904761904761
England,69,91,64,27,29,19,21,1.31,0.94,0.36,42.028985507246375
Netherlands,50,86,48,38,27,11,12,1.72,1.0,0.72,54.0
Uruguay,56,87,74,13,24,20,12,1.49,1.36,0.13,42.857142857142854
Belgium,48,68,72,-4,20,19,9,1.48,1.4,0.07,41.66666666666667
Russia,45,77,54,23,19,16,10,1.58,1.23,0.35,42.22222222222222
Sweden,51,80,73,7,19,19,13,1.5,1.54,-0.04,37.254901960784316
Yugoslavia,37,60,46,14,16,13,8,1.74,1.15,0.6,43.24324324324324
Mexico,57,60,98,-38,16,27,14,1.09,1.54,-0.46,28.07017543859649
Poland,34,46,45,1,16,13,5,1.36,1.33,0.03,47.05882352941176
Hungary,32,87,57,30,15,14,3,2.53,1.88,0.64,46.875
Portugal,30,49,35,14,14,10,6,1.52,1.21,0.31,46.666666666666664
Austria,29,43,47,-4,12,13,4,1.56,1.53,0.03,41.37931034482759
Switzerland,37,50,64,-14,12,17,8,1.44,1.74,-0.3,32.432432432432435
Chile,33,40,49,-9,11,15,7,1.23,1.47,-0.25,33.33333333333333
Croatia,23,35,26,9,11,8,4,1.46,1.2,0.26,47.82608695652174
Czechoslovakia,30,44,45,-1,11,14,5,1.78,1.33,0.45,36.666666666666664
Denmark,20,30,26,4,9,6,5,1.5,1.33,0.18,45.0
Colombia,22,32,30,2,9,10,3,1.44,1.31,0.12,40.909090909090914
Romania,21,30,32,-2,8,8,5,1.46,1.51,-0.06,38.095238095238095
United States,33,37,62,-25,8,19,6,1.12,1.86,-0.74,24.242424242424242
Paraguay,27,30,38,-8,7,10,10,1.14,1.33,-0.2,25.925925925925924
Nigeria,21,23,30,-7,6,12,3,1.08,1.42,-0.34,28.57142857142857
South Korea,34,34,70,-36,6,19,9,0.98,2.16,-1.18,17.647058823529413
Japan,21,20,29,-9,5,11,5,0.99,1.4,-0.42,23.809523809523807
Turkey,10,20,17,3,5,4,1,3.12,1.06,2.06,50.0
Peru,18,21,33,-12,5,10,3,1.42,1.58,-0.17,27.77777777777778
Costa Rica,18,19,28,-9,5,8,5,1.02,1.54,-0.51,27.77777777777778
Ghana,12,13,16,-3,4,5,3,1.06,1.32,-0.25,33.33333333333333
Cameroon,23,18,43,-25,4,12,7,0.81,1.88,-1.06,17.391304347826086
Scotland,23,25,41,-16,4,12,7,1.11,1.68,-0.57,17.391304347826086
Ecuador,10,10,11,-1,4,5,1,1.1,0.78,0.31,40.0
Bulgaria,26,22,53,-31,3,15,8,1.08,1.84,-0.77,11.538461538461538
Northern Ireland,13,13,23,-10,3,5,5,1.0,1.69,-0.7,23.076923076923077
Ivory Coast,9,13,14,-1,3,5,1,1.5,1.42,0.09,33.33333333333333
Senegal,8,11,10,1,3,2,3,1.3,1.34,-0.04,37.5
Saudi Arabia,16,11,39,-28,3,11,2,0.69,2.39,-1.7,18.75
Algeria,13,13,19,-6,3,7,3,0.98,1.48,-0.48,23.076923076923077
Tunisia,15,13,25,-12,2,9,4,1.15,1.62,-0.46,13.333333333333334
Morocco,16,14,22,-8,2,9,5,0.8,1.32,-0.52,12.5
Greece,10,5,20,-15,2,6,2,0.58,1.92,-1.34,20.0
Serbia,9,6,17,-11,2,7,0,0.62,1.85,-1.23,22.22222222222222
Australia,16,13,31,-18,2,10,4,0.88,1.88,-1.0,12.5
Ukraine,5,5,7,-2,2,2,1,1.0,0.88,0.12,40.0
South Africa,9,11,16,-5,2,3,4,1.14,2.04,-0.9,22.22222222222222
Iran,15,9,24,-15,2,9,4,0.57,1.33,-0.76,13.333333333333334
Republic of Ireland,13,10,10,0,2,3,8,0.7,0.7,0.0,15.384615384615385
Norway,8,7,8,-1,2,3,3,0.93,0.57,0.36,25.0
East Germany,6,5,5,0,2,2,2,0.88,0.88,0.0,33.33333333333333
Slovakia,4,5,7,-2,1,2,1,1.25,1.75,-0.5,25.0
North Korea,7,6,21,-15,1,5,1,0.84,2.79,-1.96,14.285714285714285
Czech Republic,3,3,4,-1,1,2,0,1.5,1.0,0.5,33.33333333333333
Jamaica,3,3,9,-6,1,2,0,1.0,3.0,-2.0,33.33333333333333
Slovenia,6,5,10,-5,1,4,1,0.84,1.66,-0.84,16.666666666666664
Cuba,3,5,12,-7,1,1,1,1.25,5.0,-3.75,33.33333333333333
Wales,5,4,4,0,1,1,3,1.25,0.88,0.38,20.0
Bosnia and Herzegovina,3,4,4,0,1,2,0,1.75,1.25,0.5,33.33333333333333
Trinidad and Tobago,3,0,4,-4,0,2,1,0.0,1.0,-1.0,0.0
New Zealand,6,4,14,-10,0,3,3,0.8,1.8,-1.0,0.0
United Arab Emirates,3,2,11,-9,0,3,0,0.5,3.25,-2.75,0.0
Angola,3,1,2,-1,0,1,2,0.25,0.75,-0.5,0.0
Kuwait,3,2,6,-4,0,2,1,0.67,2.0,-1.33,0.0
El Salvador,6,1,22,-21,0,6,0,0.17,3.67,-3.5,0.0
Haiti,3,2,14,-12,0,3,0,0.5,5.25,-4.75,0.0
Togo,3,1,6,-5,0,3,0,0.5,2.0,-1.5,0.0
Honduras,9,3,14,-11,0,6,3,0.32,1.55,-1.23,0.0
Egypt,7,5,12,-7,0,5,2,0.42,1.42,-1.0,0.0
DR Congo,3,0,14,-14,0,3,0,0.0,5.75,-5.75,0.0
Panama,3,2,11,-9,0,3,0,0.75,3.25,-2.5,0.0
Indonesia,1,0,6,-6,0,1,0,0.0,6.0,-6.0,0.0
Iceland,3,2,5,-3,0,2,1,0.75,1.75,-1.0,0.0
Iraq,3,1,4,-3,0,3,0,0.5,1.5,-1.0,0.0
Bolivia,6,1,20,-19,0,5,1,0.5,3.2,-2.7,0.0
Canada,3,0,5,-5,0,3,0,0.0,1.5,-1.5,0.0
China,3,0,9,-9,0,3,0,0.0,2.75,-2.75,0.0
Israel,3,1,3,-2,0,1,2,0.33,1.0,-0.67,0.0
